tem,glnonfil,temnorth,temsouth,,,
-0.548,-0.446,-0.751,-0.345,,,
-0.262,-0.051,-0.481,-0.043,,,
-0.283,-0.399,-0.394,-0.172,,,
-0.409,-0.287,-0.566,-0.251,,,
-0.481,-0.521,-0.687,-0.274,,,
-0.351,-0.391,-0.455,-0.247,,,
-0.321,-0.277,-0.294,-0.348,,,
-0.176,-0.148,-0.115,-0.237,,,
-0.228,-0.161,-0.17,-0.286,,,
-0.405,-0.374,-0.417,-0.393,,,
-0.391,-0.414,-0.313,-0.468,,,
-0.463,-0.455,-0.484,-0.443,,,
-0.328,-0.274,-0.132,-0.524,,,
-0.199,0.023,-0.1,-0.297,,,
-0.438,-0.425,-0.412,-0.465,,,
-0.673,-0.568,-0.832,-0.513,,,
-0.437,-0.52,-0.385,-0.49,,,
-0.334,-0.428,-0.075,-0.593,,,
-0.566,-0.462,-0.306,-0.826,,,
-0.167,-0.157,-0.181,-0.154,,,
-0.296,-0.359,-0.161,-0.431,,,
-0.168,-0.174,0.007,-0.344,,,
-0.471,-0.459,-0.373,-0.569,,,
-0.418,-0.495,-0.42,-0.416,,,
-0.312,-0.401,-0.287,-0.337,,,
-0.571,-0.562,-0.912,-0.231,,,
-0.479,-0.563,-0.779,-0.179,,,
-0.564,-0.583,-0.735,-0.394,,,
-0.358,-0.454,-0.535,-0.181,,,
-0.273,-0.183,-0.362,-0.184,,,
-0.28,-0.215,-0.118,-0.442,,,
-0.182,-0.291,-0.061,-0.303,,,
-0.246,-0.194,-0.241,-0.252,,,
-0.234,-0.268,-0.313,-0.155,,,
-0.233,-0.328,-0.219,-0.248,,,
-0.509,-0.497,-0.831,-0.188,,,
-0.577,-0.535,-0.701,-0.453,,,
-0.514,-0.358,-0.624,-0.404,,,
-0.337,-0.281,-0.384,-0.291,,,
-0.362,-0.378,-0.415,-0.31,,,
-0.424,-0.294,-0.457,-0.392,,,
-0.59,-0.532,-0.716,-0.465,,,
-0.352,-0.288,-0.149,-0.555,,,
-0.214,-0.139,-0.023,-0.405,,,
-0.327,-0.232,-0.2,-0.454,,,
-0.418,-0.419,-0.249,-0.586,,,
-0.3,-0.411,-0.276,-0.324,,,
-0.607,-0.595,-0.722,-0.492,,,
-0.643,-0.692,-1.004,-0.283,,,
-0.411,-0.341,-0.517,-0.305,,,
-0.209,0.015,-0.371,-0.048,,,
-0.091,-0.263,-0.178,-0.005,,,
-0.346,-0.304,-0.466,-0.226,,,
-0.411,-0.424,-0.312,-0.511,,,
-0.138,-0.072,0.024,-0.301,,,
-0.016,0.035,0.09,-0.123,,,
0.211,0.15,0.377,0.045,,,
0.108,0.028,0.165,0.051,,,
0.113,0.062,0.045,0.182,,,
0.034,0.093,0.081,-0.013,,,
-0.056,0.179,-0.155,0.044,,,
-0.07,0.135,-0.33,0.19,,,
0.229,0.372,0.281,0.178,,,
0.361,0.322,0.573,0.149,,,
0.189,0.297,0.251,0.126,,,
-0.122,-0.107,-0.09,-0.155,,,
0.01,0.001,0.38,-0.359,,,
-0.077,-0.063,0.093,-0.247,,,
-0.047,-0.031,0.115,-0.209,,,
0.021,0.004,0.194,-0.153,,,
-0.165,-0.138,-0.166,-0.164,,,
-0.143,-0.229,-0.094,-0.191,,,
-0.323,-0.372,-0.353,-0.292,,,
-0.238,-0.212,-0.209,-0.266,,,
-0.266,-0.167,-0.267,-0.265,,,
-0.258,-0.118,-0.257,-0.26,,,
-0.382,-0.218,-0.447,-0.318,,,
-0.344,-0.24,-0.318,-0.37,,,
-0.283,-0.265,-0.315,-0.251,,,
-0.264,-0.24,-0.22,-0.308,,,
